(616, 0.00010573480641932445)
(696, 0.00010872450639161358)
(760, 0.00011840456969147543)
(768, 0.0001180459936661529)
(784, 0.00012019876775800291)
(864, 0.00012897306804079752)
(920, 0.00013256888257039387)
(968, 0.00014025780829562344)
(1032, 0.0001578355764303909)
(1080, 0.00016439161304147713)
(1120, 0.00017367854644014354)
(1128, 0.0001814043444508406)
(1192, 0.00019565014196108418)
(1240, 0.00020902953291501583)
(1264, 0.0002231734163477002)
(1272, 0.0002262795192597602)
(1288, 0.0002164002445423582)
(1296, 0.00022919139328011747)
(1320, 0.00022642561757159829)
(1328, 0.0002267528942569276)
(1352, 0.0002465587585473609)
(1408, 0.00028711114099271674)
(1440, 0.00032387820749833063)
(1472, 0.000311159327893506)
(1608, 0.00043055271162450336)
(1640, 0.0005100846135517866)
(1672, 0.0005617148798174199)
(1728, 0.0007029845899280147)
(1736, 0.0008311456972127733)
(1752, 0.0008106937478482499)
(1768, 0.0008801822458452296)
(1856, 0.0013314520546441634)
(1896, 0.001946370213913611)
(1904, 0.001961063051959942)
(1960, 0.0036161114197994556)
(112, 7.939207429208491e-05)
(184, 8.046272530157115e-05)
(280, 8.771629452924771e-05)
(288, 8.488273672030258e-05)
(352, 8.745825485203711e-05)
(472, 9.453349283875816e-05)
(576, 9.972451757951237e-05)
(584, 0.00010372943894686632)
(656, 0.00010919836543198772)
(688, 0.00011194715060176052)
(728, 0.00011110837338995278)
(736, 0.00011523194722383074)
(816, 0.00012139801374059082)
(848, 0.00012363062968338647)
(856, 0.00012747084399081644)
(880, 0.0001273157768972192)
(936, 0.0001465378963379737)
(944, 0.00014435457251152475)
(984, 0.0001468290055095107)
(1088, 0.0001690521942432288)
(1112, 0.00016884296410319395)
(1144, 0.000184027172910427)
(1176, 0.0001836435340235079)
(1280, 0.0002174281203307449)
(1336, 0.00024336049163157706)
(1384, 0.0002758950401569016)
(1392, 0.000275531385041484)
(1448, 0.0003100682233833112)
(1464, 0.00033934940409493635)
(1480, 0.0003291746517317276)
(1512, 0.00036707122142217666)
(1528, 0.0003634318572950864)
(1576, 0.00044428681633210403)
(1592, 0.00042838095569863407)
(1808, 0.0009125536343703961)
(1824, 0.001120685651354142)
(1872, 0.0014685143261873833)
(1880, 0.0015203935825519337)
(1976, 0.004082732454833575)
(1992, 0.008572323398174904)
(264, 8.458696288218106e-05)
(304, 8.917842030892484e-05)
(368, 8.816887048386073e-05)
(432, 9.253353116473016e-05)
